ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,741	#3e3e40	2017-01-07	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,360	#84bd00	2017-01-07	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,339	#bd3200	2017-01-07	Top 200	lu
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	5	1,208	#84bd00	2017-01-07	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	6	1,204	#bd3200	2017-01-07	Top 200	lu
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	7	1,165	#3e3e40	2017-01-07	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	8	1,156	#bd3200	2017-01-07	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	9	1,091	#84bd00	2017-01-07	Top 200	lu
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	10	1,067	#bd3200	2017-01-07	Top 200	lu
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	11	1,012	#3e3e40	2017-01-07	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	2,733	#3e3e40	2017-01-08	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,660	#3e3e40	2017-01-08	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,325	#3e3e40	2017-01-08	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,297	#3e3e40	2017-01-08	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	5	1,152	#84bd00	2017-01-08	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	6	1,098	#84bd00	2017-01-08	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	7	1,048	#84bd00	2017-01-08	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	3,091	#3e3e40	2017-01-09	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,760	#3e3e40	2017-01-09	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	3	1,377	#84bd00	2017-01-09	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	4	1,377	#bd3200	2017-01-09	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	5	1,187	#84bd00	2017-01-09	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	6	1,184	#bd3200	2017-01-09	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	7	1,109	#3e3e40	2017-01-09	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	3,184	#3e3e40	2017-01-10	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,733	#3e3e40	2017-01-10	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,424	#84bd00	2017-01-10	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,326	#bd3200	2017-01-10	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	5	1,290	#84bd00	2017-01-10	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	6	1,170	#84bd00	2017-01-10	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	7	1,132	#bd3200	2017-01-10	Top 200	lu
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	8	1,018	#4687d7	2017-01-10	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	2,911	#3e3e40	2017-01-11	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,527	#3e3e40	2017-01-11	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,474	#3e3e40	2017-01-11	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,314	#3e3e40	2017-01-11	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	5	1,290	#3e3e40	2017-01-11	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	6	1,209	#84bd00	2017-01-11	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	7	1,111	#bd3200	2017-01-11	Top 200	lu
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	8	1,039	#4687d7	2017-01-11	Top 200	lu
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	9	1,030	#4687d7	2017-01-11	Top 200	lu
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	10	1,013	#bd3200	2017-01-11	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	2,948	#3e3e40	2017-01-12	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,479	#3e3e40	2017-01-12	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,426	#3e3e40	2017-01-12	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,424	#3e3e40	2017-01-12	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	5	1,343	#3e3e40	2017-01-12	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	6	1,167	#3e3e40	2017-01-12	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	7	1,153	#3e3e40	2017-01-12	Top 200	lu
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	8	1,075	#84bd00	2017-01-12	Top 200	lu
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	9	1,036	#84bd00	2017-01-12	Top 200	lu
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	10	1,026	#bd3200	2017-01-12	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	3,113	#3e3e40	2017-01-13	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,593	#3e3e40	2017-01-13	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,503	#3e3e40	2017-01-13	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,500	#3e3e40	2017-01-13	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	5	1,462	#3e3e40	2017-01-13	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	6	1,318	#84bd00	2017-01-13	Top 200	lu
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	7	1,166	#84bd00	2017-01-13	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	8	1,133	#bd3200	2017-01-13	Top 200	lu
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	9	1,091	#3e3e40	2017-01-13	Top 200	lu
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	10	1,067	#3e3e40	2017-01-13	Top 200	lu
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	3,175	#3e3e40	2017-01-14	Top 200	lu
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	1,567	#3e3e40	2017-01-14	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	3	1,508	#84bd00	2017-01-14	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	4	1,491	#3e3e40	2017-01-14	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	5	1,450	#bd3200	2017-01-14	Top 200	lu
