artist_id	name	followers	popularity	main_genre	genres	image_url
0B16gtJEQOLORvSceEnCHw	Zoupouti	319	6		[]	https://i.scdn.co/image/ab6761610000e5eb907cc1fa00e0181ba3f41bb1
7gNYAIxghoYRL233Poix77	Tradición	23	0		[]	
0D7x3wBw42v14YOGt34Jaz	RÆVE	7034	31	deep tropical house	['deep tropical house']	https://i.scdn.co/image/ab6761610000e5eb6a8d9d1afaffaa569d604124
25vtbDdUaZKGBNN1Io8nY4	Flokino	0	0		[]	
2SwhNukah1MYpLR594PnuC	Steve Edwards	2969	63		[]	https://i.scdn.co/image/ab67616d0000b273c272f11aee228a5089cb4501
3ovcRgJKVKJumd6QKosCd1	柯智豪	2175	12	taiwan instrumental	['taiwan instrumental']	https://i.scdn.co/image/ab67616d0000b273616abd8572f40bb6ca366674
4JEOXpMeTo2Xv1fc3EI0DZ	Lee Si Eun	572	9		[]	https://i.scdn.co/image/ab67616d0000b273f1bc2da3cb0683000c5ac5fc
1f1QDpWGnTQa0ujdJALuDD	Pitutza	629	24		[]	https://i.scdn.co/image/ab67616d0000b273af496d06bbb69da27c5d02d0
6rqttyhoTrDP7leMZc0t18	覆予	1525	7	chinese viral pop	['chinese viral pop']	https://i.scdn.co/image/ab67616d0000b27368d3de51c87612ba34e2828d
3xaGsC8Wew467UpEKhjXNZ	PARK HYEON JIN	16494	34	korean r&b	['korean r&b']	https://i.scdn.co/image/ab67616d0000b2732a28c2ebc545041c10538b08
4ULO7IGI3M2bo0Ap7B9h8a	Teyana Taylor	1704650	60	alternative r&b	['alternative r&b', 'hip pop', 'r&b', 'urban contemporary']	https://i.scdn.co/image/ab6761610000e5eb8dabeabefec7df1a02e7d61b
6aAaCzYJZ5b4wKHNq4V9FZ	Kruuv	1190	20	estonian pop	['estonian pop']	https://i.scdn.co/image/ab6761610000e5ebdc0c8b2b1f7232c18d376d2f
10GT4yz8c6xjjnPGtGPI1l	Franc Moody	144134	57	indie soul	['indie soul']	https://i.scdn.co/image/ab6761610000e5ebae26e111c256547635435e5d
3D5LwaQRTa4936YYmQPqqu	Guðmundur Þórarinsson	97	3	icelandic pop	['icelandic pop', 'sunnlensk tonlist']	
1BmW7gk5sNUff7U3JEWqxa	Marie-Mai	42037	43	auteur-compositeur-interprete quebecois	['auteur-compositeur-interprete quebecois', 'pop quebecois']	https://i.scdn.co/image/ab6761610000e5eb124397f2987349e95f70a0c5
6aB7FAgulWKV5S3QrBJoGn	Bitman	41	9		[]	
6OVWEchbloWKoDT1isrvWr	קייט ואור	297	9		[]	https://i.scdn.co/image/ab67616d0000b273053b5b02215887bc678d911e
35zqZJh0aUQ1zRccTULR67	DJ A.S. One	349	24		[]	https://i.scdn.co/image/ab6761610000e5eb91e7adb34e1f0c9d296c39b3
6pG1ZVFN8KaauXU1ECwmC6	Nibirv	645	2		[]	https://i.scdn.co/image/ab6761610000e5ebc0110b733a87b4fd44fec094
2TO6SX9weMc5ZT6FdJdpJI	Hlengiwe Mhlaba	364892	42	south african gospel	['south african gospel']	https://i.scdn.co/image/ab67616d0000b2739836372916e15bcc2e3558de
2Kv0Y8Pu1hRVeSLzf6uW1P	Laton	5	1		[]	
4jmEWVXL9bxecOdfpiIV6E	Jo Marie	2616	18		[]	https://i.scdn.co/image/ab6761610000e5ebe944db06777567feee0fbc88
3yStqKO8mPPNx0cIBzoyM3	Dewald Dippenaar	17358	12	afrikaans	['afrikaans']	https://i.scdn.co/image/ab67616d0000b2736468f7e70e8d5b74235f3af6
4HYqQGd6sHdPhq6qwikEix	Snappy	1288	46		[]	https://i.scdn.co/image/ab6761610000e5eb5f34a8b41e99f04d977e1904
52m4avwDcrat4zSI2UljXB	The Backyard	39708	30	israeli rock	['israeli rock']	https://i.scdn.co/image/ab6761610000e5eb2cdb2bdf65a42999cd8dd5f6
7p1rrHdKESuF36QaqDSAtd	Albina	5488	27		[]	https://i.scdn.co/image/ab6761610000e5eb027b99031ea1486c520cb268
545idYhdloaSlLGBY8E9u2	Cameo	612008	53	disco	['disco', 'funk', 'motown', 'new jack swing', 'p funk', 'popping', 'post-disco', 'quiet storm', 'soul']	https://i.scdn.co/image/ab6761610000e5eb6945dad7c71ec94838ba1836
7jgnJBnpZTiGnCF2Wvka2Z	Christophe Maé	583623	57	chanson	['chanson', 'french pop']	https://i.scdn.co/image/ab6761610000e5ebbe0d979c566d739790abc1bb
1yOTWymQ70ACBgVA0oJWR3	Nanna Olivia	87	3		[]	https://i.scdn.co/image/ab6761610000e5eb5b1ecf8ea1aa111c57e2cfa1
4wNM69xY7xVOi8WK46t4tT	Magnofield	884	20		[]	https://i.scdn.co/image/ab67616d0000b273b9413ba2720adb83a46f82c2
6wwgDxXnmagUtCLbNRFJpF	Moe Moks	34	31		[]	https://i.scdn.co/image/ab67616d0000b27332e6ea32a04c104e51b1bbda
7bwZSqJDfF7XjXBoi2C5CF	BLUEYES	179	0		[]	https://i.scdn.co/image/ab67616d0000b27320e2937cc98b499f182c8c0f
0PpyxffW8yED0Zr38Amhgw	Dallas Wayne	2601	11	deep contemporary country	['deep contemporary country', 'neo honky tonk']	https://i.scdn.co/image/ab6761610000e5eb1092162a3c855d5c42237f93
5zrIzxsVMsWNXF96APNimN	高亚楠	84	0		[]	
5AbmmYDAOzZgTSgnNotUBQ	Stefan	38	2		[]	https://i.scdn.co/image/ab67616d0000b27361cfd53697a33c02c2281480
2FHN0lFkoif5aZHW55PNKD	Villancicos de Navidad y Canciones de Navidad	62548	27	villancicos	['villancicos']	https://i.scdn.co/image/ab67616d0000b273e15c362cf1014c85e0187c1d
6b8ra1rFH1RtPCHWYEkaA5	Baby Shima	11044	25	malaysian pop	['malaysian pop']	https://i.scdn.co/image/ab6761610000e5eb1f9ee4280c2c79dd38ad42d3
4OypROX8B0gMiqdxpmSHTR	Sjaan uit de Jordaan	8	0		[]	
1X4muLmJRT0JzzoqXNFLoV	MAGI	9	1		[]	https://i.scdn.co/image/ab67616d0000b2735c337310deff855a1537668f
0kuiVox1gz055r46Oqulfw	Sahlene Williams	1345	30	atmosphere	['atmosphere']	https://i.scdn.co/image/ab67616d0000b2735308b500dbeae1b83558a4b1
3bWvLWa0SjKm8esaGS2TAE	WM	1233	5	doujin	['doujin']	https://i.scdn.co/image/ab6761610000e5ebe0aed7a99ac79dbde3f452bb
4iFHEbdGaV010QjbSCeFk7	Luccas Fernandes	668	23		[]	https://i.scdn.co/image/ab6761610000e5eb9ac2d7ca7f307735eac946ef
0GVALoZS1wWzfVKJ28Z7yD	Fiftee West	197	4	traprun	['traprun']	https://i.scdn.co/image/ab6761610000e5eb87d8a6d400521316450eeb68
3lfrOM39qcn24LDgNX0HGo	เนย ภัสวรรณ	2474	24		[]	https://i.scdn.co/image/ab67616d0000b27351c34a53e803838a10422115
0WSXFzGLkupEXef8Iz4z02	王翊丞	52	1		[]	https://i.scdn.co/image/ab67616d0000b27334b88001eb51bd969a85ab8b
68dxTANlN2QOZmRJrcWaWZ	Qtdabutcha	2158	22		[]	https://i.scdn.co/image/ab6761610000e5eb56804ea78d92d12cf163d710
2g2AReFedlCvkPUhx4I4b1	Finis Mundi	815	2		[]	https://i.scdn.co/image/ab6761610000e5eb51b83123a515a8203f2fb12a
0Bm5cFUEv8FGx1wEekHj0D	Jeffrey James	5307	34		[]	https://i.scdn.co/image/ab6761610000e5eb13d37ddf4b8708a391b3dc94
6diiyZ15AVZoSxzAyjIYJT	Shogun	32623	44	deep uplifting trance	['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']	https://i.scdn.co/image/ab6761610000e5eb84f02747e3e6c5f410fb533a
19vCtDMDfX2wjU5vULq6FG	Mr Black El Presidente	131534	46	champeta	['champeta', 'salsa choke']	https://i.scdn.co/image/ab6761610000e5eb75cec562f1748c8d630af9c5
2FcC4sDMXme2ziI7tGKMK8	David Gilmour	1752403	53	album rock	['album rock', 'art rock', 'classic rock', 'progressive rock', 'symphonic rock']	https://i.scdn.co/image/ab6761610000e5eb1dfc5a9665cd11bc0dd026fc
1e8wNOOTAfcvZnYAqxqHZM	Thomas Fersen	63962	43	chanson	['chanson', 'french rock', 'nouvelle chanson francaise']	https://i.scdn.co/image/ab6761610000e5eb4d39f5db79dc45d0b3d68c5a
4jCduxx9HzFKS0RrRAtVXD	Palito Ortega	559306	52	cancion melodica	['cancion melodica', 'pop romantico', 'ranchera']	https://i.scdn.co/image/ab6761610000e5ebeb8f1f4817b56fc806455ebd
5kARVtC2AG0DnhgrFBCbGR	Duke	3534	35		[]	https://i.scdn.co/image/ab67616d0000b273ef09bac4e614849a3007dc99
6JG2QQcaQBzinELNvu9PRk	Bipo Montana	390745	52	mexican hip hop	['mexican hip hop']	https://i.scdn.co/image/ab6761610000e5eb59c7da4c714a2a44e6ad8fea
1O2pNNtuMk4xkuIssA9C1Z	Taraful Rutenilor	4452	28	muzica lautareasca	['muzica lautareasca']	https://i.scdn.co/image/ab67616d0000b27308ddbd09ca3f843ad64cffa6
4DqFd6XE3dX4LWXHJVVpLk	THE 8	250286	47		[]	https://i.scdn.co/image/ab6761610000e5eb8be6190f4f3e0745f5b193d9
7zDnBREZb7ldWHk6CEvJha	LOGI	318	11		[]	https://i.scdn.co/image/ab6761610000e5eb03e820b404bd7e151766558f
3Hxue4olG2AQ30Fju3VTiW	Emrah Özdilek	146	0		[]	https://i.scdn.co/image/ab67616d0000b2739ebdc65978809d2f0fbb841b
4pQxRQ2bUyVpk89wzztCLw	Los Del Limit	648108	61	corrido	['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']	https://i.scdn.co/image/ab6761610000e5eb8d6fa2a660bcfe7aba80b67b
5vXrMmkMFmkfICo0w85tkf	Onyekv	73	2		[]	https://i.scdn.co/image/ab6761610000e5eb5914067906460d2391c769bc
6EG9v86LsCoq5HS4Jj1zCQ	Pabi Cooper	276025	44	amapiano	['amapiano']	https://i.scdn.co/image/ab6761610000e5ebfcc094a63b42407422abb510
54rP2BGAK9LZasGQUWrMfn	Ingus Petersons	1230	25	latvian pop	['latvian pop']	https://i.scdn.co/image/ab67616d0000b27359cfdb6c6e9f5e0fc95e8ae6
0oHlZgztXKJFzSbW9pq9Yk	Alexia Bosch	2024	5		[]	https://i.scdn.co/image/ab6761610000e5ebf19b96aa324f45b39e9923f0
5CxFdJDDcUDl0oa0DjrqJs	Garage Fuzz	25787	27	brazilian hardcore	['brazilian hardcore', 'brazilian punk', 'rock abc paulista']	https://i.scdn.co/image/ab67616d0000b2730f61763701ae5e8e47b5340a
0zBn7wBxgdEpQc4Krvuyd6	Kaz	210	3		[]	https://i.scdn.co/image/ab6761610000e5ebc7908f1f6c9d6349e06ed8f6
1L4HGLMFRrJsAnug5M7slL	Ericka Jane	6112	43	danish pop	['danish pop', 'scandipop']	https://i.scdn.co/image/ab6761610000e5eb59f0573f68553885a6db7da8
50Fwc6LYQ2aYsWVN10hhTY	PLAZA	147954	52	canadian contemporary r&b	['canadian contemporary r&b', 'dark r&b', 'trap soul']	https://i.scdn.co/image/ab6761610000e5eb54a05fbd86929fc38f9d879d
1cwlYsgHBYvLzT4C24AliQ	DJ Zinc	56764	49	bass house	['bass house', 'drum and bass', 'jump up', 'jungle', 'old school bassline', 'uk dance', 'uk garage']	https://i.scdn.co/image/ab6761610000e5eb97754509f66d4cb7f34f3ee7
25ADocsG0Sq47cIcdMPiuP	Paloma Pradal	1722	36		[]	https://i.scdn.co/image/ab6761610000e5ebf49d6ff0030b83ee8c6959c2
7Af86WpegEMbvdXnmwyYC2	Camilo Vega	701	2		[]	https://i.scdn.co/image/ab6761610000e5ebe8fb702cb1a869fb3ee09d22
4dfYua3wPCN3mq8EStDZkZ	Dexter	34731	35	german jazz rap	['german jazz rap']	https://i.scdn.co/image/ab6761610000e5eb5df9e33c3286c7f62ff3fbc3
23aPUZaR8bESXN4UD3T2Sx	香取慎吾	21532	37		[]	https://i.scdn.co/image/ab6761610000e5eb0165703a155af2fc2fcff441
1pgSJtH1TwIAxeSn4vSJJR	Mineo	1233	19		[]	https://i.scdn.co/image/ab6761610000e5eb202d29832ed83a00e8964b88
6BcIYPy8YuukxAZjFpBKcB	Kazuo Zaitsu	21068	31	japanese folk	['japanese folk']	https://i.scdn.co/image/ab6761610000e5eb66d33ba92eab24cf3c6de1db
4gKoJlqp9vHQYvXF41yrNJ	SaxbyTwins	2810	23		[]	https://i.scdn.co/image/ab6761610000e5ebbf1b4a0d5900665294c438dc
0blJzvevdXrp21YeI2vbco	Type O Negative	815574	59	alternative metal	['alternative metal', 'gothic metal', 'industrial metal', 'industrial rock', 'metal', 'nu metal']	https://i.scdn.co/image/ab6761610000e5eb843df562d1bad7f5163fd164
2onoO0N62qYqnHJjTi0g0k	Cao Lu	257	15		[]	https://i.scdn.co/image/ab67616d0000b273e27dbb3568b8ca89002e1a08
79ULAyO4958aeBYlakiE4k	Lady Sir	4359	19		[]	https://i.scdn.co/image/ab67616d0000b27381ba434254acafa0b55c8294
30lhQ8YN26nuSSwPPquEgk	L1wolf	35	10		[]	
6OokCpvxnYv43WcFqejMLb	Tulipa Ruiz	235353	46	nova mpb	['nova mpb', 'nova musica paulista']	https://i.scdn.co/image/ab6761610000e5eb4d4bf2070bceaa5c461f5803
3y4q2i7dNCUrGM1u3CcHMY	HOODZ	236	30		[]	https://i.scdn.co/image/ab6761610000e5ebcd2da74975485778fdee16c1
2XVhcHqRiBn9p0gKGIkUql	elle	2	0		[]	
0IXx6MZ2IPq8L7fv175UMF	Jessica Childress	4216	21		[]	https://i.scdn.co/image/ab6761610000e5eb07c12c51a0b524e7223b8591
7hRlZNf448nADIspiGX51O	Noparkingtheband	92	0		[]	
4SklVMGMsWTq7cJd9MixUx	Markéta Irglová	46558	47	chamber folk	['chamber folk', 'czech singer-songwriter', 'melancholia']	https://i.scdn.co/image/ab6761610000e5eb8ecfdd8c6cb7253bcc66bed2
5kuhEvKD5GazJ5qLiup6zJ	Fijin	48	1		[]	https://i.scdn.co/image/ab67616d0000b2730cf8405628c2cceb0489b3b8
7pv4pK2Q3iHVi0cfT1xlSQ	Pendhoza	171322	42	dangdut koplo	['dangdut koplo', 'javanese dangdut', 'lagu jawa']	https://i.scdn.co/image/ab6761610000e5eb1828d6e74c4342b4d2b2e038
5n6MnWLq1PXSr12BXtzoUa	Peter Lanzani	619	9		[]	https://i.scdn.co/image/ab67616d0000b273062fc016641357201e21047c
1K0lOPFlbPF3Volp5qIYNw	Jadiel	1225821	48	reggaeton	['reggaeton']	https://i.scdn.co/image/3d0597d79bdf4b7c7f3cade64125b2136bb5d51f
0LHHjmO9pR86COKS97VLxh	Rände	55	0		[]	https://i.scdn.co/image/ab6761610000e5ebd860c0bc7184f4c42fe441a2
7z4WEJIsbOWa7hnaqVH2dz	Özlem Akgüneş	1388	14		[]	https://i.scdn.co/image/ab6761610000e5ebeb16a698101108af2fa4d2d6
