provider,origin_platform,country_code,year,chart_name,artist,chart_appearances,unique_tracks,best_rank,mean_rank,top10_appearances,top50_appearances,streams_sum,stream_observations,artist_rank
MGD,SPOTIFY,AE,2020,Top 200,XXXTENTACION,2310,10,27,89.622944,0,348,3545363,2310,1
MGD,SPOTIFY,AE,2020,Top 200,Juice WRLD,1868,35,2,79.809957,30,600,3334328,1868,2
MGD,SPOTIFY,AE,2020,Top 200,Ed Sheeran,1411,8,11,102.02764,0,225,2093053,1411,3
MGD,SPOTIFY,AE,2020,Top 200,Travis Scott,1366,9,1,50.93265,178,859,3439385,1366,4
MGD,SPOTIFY,AE,2020,Top 200,Billie Eilish,1351,7,2,61.932642,54,652,2783242,1351,5
MGD,SPOTIFY,AE,2020,Top 200,Pop Smoke,1129,21,4,70.719221,134,436,2708238,1129,6
MGD,SPOTIFY,AE,2020,Top 200,Ariana Grande,1054,22,1,74.756167,130,423,2665200,1054,7
MGD,SPOTIFY,AE,2020,Top 200,The Weeknd,1043,24,1,49.068073,318,640,2948453,1043,8
MGD,SPOTIFY,AE,2020,Top 200,Harry Styles,975,5,5,69.781538,76,395,2039351,975,9
MGD,SPOTIFY,AE,2020,Top 200,Dua Lipa,860,19,3,47.402326,137,542,2284643,860,10
MGD,SPOTIFY,AE,2020,Top 200,Sam Smith,837,14,24,107.767025,0,68,1118426,837,11
MGD,SPOTIFY,AE,2020,Top 200,Drake,833,17,1,61.288115,174,377,2113747,833,12
MGD,SPOTIFY,AE,2020,Top 200,BTS,821,46,1,74.125457,169,336,2432842,821,13
MGD,SPOTIFY,AE,2020,Top 200,Justin Bieber,798,13,3,38.453634,194,561,2440479,798,14
MGD,SPOTIFY,AE,2020,Top 200,Post Malone,748,5,5,73.596257,26,212,1414562,748,15
MGD,SPOTIFY,AE,2020,Top 200,Lewis Capaldi,734,3,12,33.336512,0,631,1881872,734,16
MGD,SPOTIFY,AE,2020,Top 200,Maroon 5,690,4,4,69.052174,42,373,1442424,690,17
MGD,SPOTIFY,AE,2020,Top 200,Don Toliver,630,7,11,85.077778,0,150,1034623,630,18
MGD,SPOTIFY,AE,2020,Top 200,BLACKPINK,619,11,1,62.248788,92,331,1671606,619,19
MGD,SPOTIFY,AE,2020,Top 200,Doja Cat,592,5,8,69.951014,28,242,1101242,592,20
