provider,origin_platform,country_code,chart_name,period_start,rank,track_title,artist,source_artifact
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,23,Tubarões (Ao Vivo),Diego & Victor Hugo,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,24,Eu Duvido (Ao Vivo),"Guilherme & Benuto, Panda",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,25,Eu Me Apaixonei,Vitinho Imperador,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,26,"Irmão Da Lua, Amigo Das Estrelas",Zezé Di Camargo & Luciano,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,27,Cheiro De Culpado (Ao Vivo),Júnior & Cézar,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,28,Dai Dai,"Shakira, Burna Boy",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,29,Posso Até Não Te Dar Flores (Feat. Dj Davi Dogdog),"Dj Japa Nk, Mc Meno K, Mc Ryan Sp, Mc Jacaré",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,30,"Oi, Tudo Bem? (Ao Vivo)",Zé Neto & Cristiano,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,31,Beatriz,"2ZDinizz, Leborato, HHR",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,32,Foi Por Conveniência,Marília Mendonça,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,33,Pela Última Vez (Ao Vivo),"Grupo Menos É Mais, Nattan",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,34,Quando Eu Tomo Gin De 10,"Mc Neguinho Do Morro, Mc Nina",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,35,Baqueado (Ao Vivo),"Panda, Ícaro & Gilmar",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,36,Swim,BTS (Bangtan Boys),data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,37,Mtg Pra Ficar Legal,"Dj Jz, Mc Fael Halls, Mc Menor Thalis",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,38,Lembrança Boa,Pedro & Benicio,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,39,Não Mexe Nas Minhas Gavetas (Ao Vivo),Danilo & Davi,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,40,Alguns Defeitos,"Léo Foguete, Panda",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,41,Um Peão Desse,"CountryBeat, Mari Fernandez",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,42,Coração Partido (Corazón Partío) (Ao Vivo),Grupo Menos É Mais,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,43,Aproveita Que Eu Tô Brigado (Ao Vivo),"Nattan, Zé Vaqueiro",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,44,Se Saudade Sentir (Se Prepara 3),"Mc Livinho, Mc Pedrinho, Perera DJ, DJ JB Mix",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,45,Dois Enganados (Feat. Marília Mendonça),Murilo Huff,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,46,Seja Ex (Ao Vivo),Henrique & Juliano,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,47,Amor Dos Outros (Ao Vivo),Henrique & Juliano,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,48,Displicente (Ao Vivo),"Wesley Safadão, Rey Vaqueiro",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,49,Meu Silêncio (Ao Vivo),"Matheus & Kauan, Simone Mendes",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,50,Bala Alojada,Gusttavo Lima,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
